,avidity,ligand,IgID,DC-human-Phe_activity,DC-human-Phe_Lbnd,DC-human-Val_activity,DC-human-Val_Lbnd,MO-human-Phe_activity,MO-human-Phe_Lbnd,NK-human-Phe_activity,NK-human-Phe_Lbnd,MO-human-Val_activity,MO-human-Val_Lbnd,NK-murine_activity,NK-murine_Lbnd,NK-human-Val_activity,NK-human-Val_Lbnd,DC-murine_activity,DC-murine_Lbnd,MO-murine_activity,MO-murine_Lbnd
25,4,1e-09,1,2.714024091366306e-07,27.921823154646855,2.714024091366306e-07,27.921823154646855,2.714024091366306e-07,27.921823154646855,2.714024091366306e-07,27.921823154646855,2.714024091366306e-07,27.921823154646855,2.714024091366306e-07,27.921823154646855,2.714024091366306e-07,27.921823154646855,2.714024091366306e-07,27.921823154646855,2.714024091366306e-07,27.921823154646855
26,4,1e-09,2,2.3281633792090983e-07,23.94254212159079,2.3281633792090983e-07,23.94254212159079,2.3281633792090983e-07,23.94254212159079,2.3281633792090983e-07,23.94254212159079,2.3281633792090983e-07,23.94254212159079,2.3281633792090983e-07,23.94254212159079,2.3281633792090983e-07,23.94254212159079,2.3281633792090983e-07,23.94254212159079,2.3281633792090983e-07,23.94254212159079
27,4,1e-09,3,3.898919306699898e-14,4.000000037389192e-06,3.898919306699898e-14,4.000000037389192e-06,3.898919306699898e-14,4.000000037389192e-06,3.898919306699898e-14,4.000000037389192e-06,3.898919306699898e-14,4.000000037389192e-06,3.898919306699898e-14,4.000000037389192e-06,3.898919306699898e-14,4.000000037389192e-06,3.898919306699898e-14,4.000000037389192e-06,3.898919306699898e-14,4.000000037389192e-06
28,4,1e-09,4,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237
29,4,1e-09,5,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477
30,4,1e-09,6,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291
31,4,1e-09,7,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291
32,4,1e-09,8,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237,3.895805937467262e-08,3.9984046754729237
33,4,1e-09,9,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477,7.796630091850504e-09,0.7999400122750477
34,4,1e-09,10,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291
35,4,1e-09,11,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291,7.785380919911611e-08,7.993609187244291
36,8,1e-09,0,5.432382212451067e-07,23.94254641139511,5.432382212451067e-07,23.94254641139511,5.432382212451067e-07,23.94254641139511,5.432382212451067e-07,23.94254641139511,5.432382212451067e-07,23.94254641139511,5.432382212451067e-07,23.94254641139511,5.432382212451067e-07,23.94254641139511,5.432382212451067e-07,23.94254641139511,5.432382212451067e-07,23.94254641139511
